NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT03695471,Pembrolizumab in Treating Patients with Stage IB-IV Mycosis Fungoides,https://clinicaltrials.gov/study/NCT03695471,COMPLETED,Mycosis Fungoides|Sezary Syndrome|Stage IB Mycosis Fungoides and Sezary Syndrome AJCC V8|Stage II Mycosis Fungoides and Sezary Syndrome AJCC V8|Stage IIA Mycosis Fungoides and Sezary Syndrome AJCC V8|Stage IIB Mycosis Fungoides and Sezary Syndrome AJCC V8|Stage III Mycosis Fungoides and Sezary Syndrome AJCC V8|Stage IIIA Mycosis Fungoides and Sezary Syndrome AJCC V8|Stage IIIB Mycosis Fungoides and Sezary Syndrome AJCC V8|Stage IV Mycosis Fungoides and Sezary Syndrome AJCC V8|Stage IVA1 Mycosis Fungoides and Sezary Syndrome AJCC V8|Stage IVA2 Mycosis Fungoides and Sezary Syndrome AJCC V8|Stage IVB Mycosis Fungoides and Sezary Syndrome AJCC V8,BIOLOGICAL: Pembrolizumab,Mayo Clinic,,INTERVENTIONAL
NCT01860937,T-Lymphocytes Genetically Targeted to the B-Cell Specific Antigen CD19 in Pediatric and Young Adult Patients With Relapsed B-Cell Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT01860937,ACTIVE_NOT_RECRUITING,Relapsed B-Cell Acute Lymphoblastic Leukemia,PROCEDURE: leukapheresis or collection of PBMCs|DRUG: cyclophosphamide based chemotherapy regimens|BIOLOGICAL: modified T cells,Memorial Sloan Kettering Cancer Center,Dana-Farber Cancer Institute,INTERVENTIONAL
NCT07003100,"A Prospective, US-based Study Assessing Mogamulizumab-associated Rash in Patients Diagnosed With Mycosis Fungoides or Sezary Syndrome and Treated With Standard of Care Mogamulizumab",https://clinicaltrials.gov/study/NCT07003100,RECRUITING,Recurrent Mycosis Fungoides|Recurrent Sezary Syndrome|Refractory Mycosis Fungoides|Refractory Sezary Syndrome|Stage IB Mycosis Fungoides and Sezary Syndrome AJCC v8|Stage IIA Mycosis Fungoides and Sezary Syndrome AJCC v8|Stage IIB Mycosis Fungoides and Sezary Syndrome AJCC v8|Stage III Mycosis Fungoides and Sezary Syndrome AJCC v8|Stage IV Mycosis Fungoides and Sezary Syndrome AJCC v8,OTHER: Non-Interventional Study,City of Hope Medical Center,National Cancer Institute (NCI),OBSERVATIONAL
NCT03038672,Nivolumab With or Without Varlilumab in Treating Patients With Relapsed or Refractory Aggressive B-cell Lymphomas,https://clinicaltrials.gov/study/NCT03038672,ACTIVE_NOT_RECRUITING,"ALK-Positive Large B-Cell Lymphoma|Diffuse Large B-Cell Lymphoma Activated B-Cell Type|Diffuse Large B-Cell Lymphoma Associated With Chronic Inflammation|Diffuse Large B-Cell Lymphoma Germinal Center B-Cell Type|Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|EBV-Positive Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|EBV-Positive Mucocutaneous Ulcer|HHV8-Positive Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|High Grade B-Cell Lymphoma With MYC and BCL2 and/or BCL6 Rearrangements|High Grade B-Cell Lymphoma, Not Otherwise Specified|Intravascular Large B-Cell Lymphoma|Large B-Cell Lymphoma With 11q Aberration|Large B-Cell Lymphoma With IRF4 Rearrangement|Plasmablastic Lymphoma|Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System|Primary Effusion Lymphoma|Recurrent B-Cell Non-Hodgkin Lymphoma|Recurrent Burkitt Lymphoma|Recurrent Diffuse Large B-Cell Lymphoma|Recurrent Gray-Zone Lymphoma|Recurrent High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements|Recurrent High Grade B-Cell Lymphoma With MYC, BCL2, and BCL6 Rearrangements|Recurrent Lymphomatoid Granulomatosis|Recurrent Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type|Recurrent Primary Mediastinal Large B-Cell Lymphoma|Recurrent T-Cell/Histiocyte-Rich Large B-Cell Lymphoma|Refractory B-Cell Non-Hodgkin Lymphoma|Refractory Burkitt Lymphoma|Refractory Diffuse Large B-Cell Lymphoma|Refractory Gray-Zone Lymphoma|Refractory High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements|Refractory High Grade B-Cell Lymphoma With MYC, BCL2, and BCL6 Rearrangements|Refractory Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type|Refractory Primary Mediastinal Large B-Cell Lymphoma|Refractory T-Cell/Histiocyte-Rich Large B-Cell Lymphoma",BIOLOGICAL: Nivolumab|DRUG: Varlilumab,National Cancer Institute (NCI),,INTERVENTIONAL
NCT03587844,"Dosing of Brentuximab Vedotin for Mycosis Fungoides, Sezary Syndrome Patients",https://clinicaltrials.gov/study/NCT03587844,RECRUITING,Mycosis Fungoides|Lymphomatoid Papulosis|Sezary Syndrome,DRUG: brentuximab vedotin|DRUG: brentuximab vedotin|DRUG: brentuximab vedotin,Memorial Sloan Kettering Cancer Center,Seagen Inc.,INTERVENTIONAL
NCT00054483,Bortezomib in Treating Patients With Advanced Cancer and Kidney Dysfunction,https://clinicaltrials.gov/study/NCT00054483,COMPLETED,"Adult Grade III Lymphomatoid Granulomatosis|Adult Nasal Type Extranodal NK/T-cell Lymphoma|Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue|Nodal Marginal Zone B-cell Lymphoma|Recurrent Adult Burkitt Lymphoma|Recurrent Adult Diffuse Large Cell Lymphoma|Recurrent Adult Diffuse Mixed Cell Lymphoma|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|Recurrent Adult Grade III Lymphomatoid Granulomatosis|Recurrent Adult Immunoblastic Large Cell Lymphoma|Recurrent Adult Lymphoblastic Lymphoma|Recurrent Grade 1 Follicular Lymphoma|Recurrent Grade 2 Follicular Lymphoma|Recurrent Grade 3 Follicular Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Marginal Zone Lymphoma|Recurrent Small Lymphocytic Lymphoma|Refractory Multiple Myeloma|Splenic Marginal Zone Lymphoma|Stage III Multiple Myeloma|Stage IV Adult Burkitt Lymphoma|Stage IV Adult Diffuse Large Cell Lymphoma|Stage IV Adult Diffuse Mixed Cell Lymphoma|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|Stage IV Adult Immunoblastic Large Cell Lymphoma|Stage IV Adult Lymphoblastic Lymphoma|Stage IV Grade 1 Follicular Lymphoma|Stage IV Grade 2 Follicular Lymphoma|Stage IV Grade 3 Follicular Lymphoma|Stage IV Mantle Cell Lymphoma|Stage IV Marginal Zone Lymphoma|Stage IV Small Lymphocytic Lymphoma|Unspecified Adult Solid Tumor, Protocol Specific|Waldenström Macroglobulinemia",DRUG: bortezomib|OTHER: laboratory biomarker analysis|OTHER: pharmacological study,National Cancer Institute (NCI),,INTERVENTIONAL
NCT05238064,Parsaclisib in Combination With CHOP in Participants With Previously Untreated PTCL,https://clinicaltrials.gov/study/NCT05238064,NOT_YET_RECRUITING,PI3Kδ Inhibitor|Parsaclisib|CHOP|PTCL,DRUG: Parsaclisib|DRUG: CHOP,Fudan University,,INTERVENTIONAL
NCT01625455,Effect of Neurokinin-1 Receptor (NK1R) Antagonism on Pruritus in Patients With Sezary Syndrome,https://clinicaltrials.gov/study/NCT01625455,TERMINATED,Sezary Syndrome|Pruritus,DRUG: Aprepitant|DRUG: Placebo,Vanderbilt University Medical Center,,INTERVENTIONAL
NCT06641024,Clinical Research of CD19 Targeted CAR-T Cell in Relapsed/ Refractory B-ALL,https://clinicaltrials.gov/study/NCT06641024,NOT_YET_RECRUITING,"Acute Lymphoblastic Leukemia, in Relapse|Refractory Acute Lymphoblastic Leukemia",BIOLOGICAL: MC-1-50,"Chongqing Precision Biotech Co., Ltd",Ruijin Hospital,INTERVENTIONAL
NCT03128359,"High Dose Cyclophosphamide, Tacrolimus, and Mycophenolate Mofetil in Preventing Graft Versus Host Disease in Patients With Hematological Malignancies Undergoing Myeloablative or Reduced Intensity Donor Stem Cell Transplant",https://clinicaltrials.gov/study/NCT03128359,COMPLETED,"Acute Leukemia|Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma|Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Diffuse Large B-Cell Lymphoma|Follicular Lymphoma|Graft Versus Host Disease|Hodgkin Lymphoma|Mantle Cell Lymphoma|Marginal Zone Lymphoma|Myelodysplastic Syndrome|Myeloproliferative Neoplasm|Recurrent Acute Myeloid Leukemia With Myelodysplasia-Related Changes|Recurrent Plasma Cell Myeloma|Refractory Plasma Cell Myeloma|Secondary Myelodysplastic Syndrome",DRUG: Busulfan|DRUG: Cyclophosphamide|DRUG: Fludarabine Phosphate|PROCEDURE: Hematopoietic Cell Transplantation|OTHER: Laboratory Biomarker Analysis|DRUG: Melphalan Hydrochloride|DRUG: Mycophenolate Mofetil|PROCEDURE: Peripheral Blood Stem Cell Transplantation|OTHER: Quality-of-Life Assessment|DRUG: Tacrolimus|RADIATION: Total-Body Irradiation,City of Hope Medical Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT06343090,Clinical Trial of CD19 and CD22 CAR Sequential Therapy Versus Single CD19 CAR Bridging to HSCT for r/r B-ALL Patients,https://clinicaltrials.gov/study/NCT06343090,RECRUITING,"B-cell Acute Lymphoblastic Leukemia|Acute Lymphoblastic Leukemia, in Relapse|Refractory Acute Lymphoid Leukemia",DRUG: CD19 CAR T-cell|DRUG: CD22 CAR T cells|PROCEDURE: hematopoietic stem-cell transplantation,Beijing GoBroad Hospital,,INTERVENTIONAL
NCT03239392,A Dose-Ranging Study of IV BNZ-1 in LGL Leukemia or Refractory CTCL,https://clinicaltrials.gov/study/NCT03239392,COMPLETED,LGL Leukemia|CTCL,DRUG: BNZ132-1-40,Bioniz Therapeutics,,INTERVENTIONAL
NCT02822586,TSEB and Brentuximab for Treatment of Mycosis Fungoides & Sezary Syndrome,https://clinicaltrials.gov/study/NCT02822586,COMPLETED,Mycosis Fungoides|Sézary Syndrome,RADIATION: TSEB Therapy|DRUG: Brentuximab vedotin,Virginia Commonwealth University,Seagen Inc.,INTERVENTIONAL
NCT04553393,Decitabine-primed Tandem CD19/CD20 CAR T Cells Plus Epigenetic Agents in Aggressive r/r B-NHL With Huge Tumor Burden,https://clinicaltrials.gov/study/NCT04553393,UNKNOWN,Refractory or Relapsed Aggressive r/r B-NHL With Huge Tumor Burden,DRUG: Chidamide|DRUG: Decitabine|DRUG: Chidamide and Decitabine|BIOLOGICAL: Decitabine-primed Tandem CAR19/20 engineered T cells,Chinese PLA General Hospital,,INTERVENTIONAL
NCT02243579,Pembrolizumab in Treating Patients With Relapsed or Refractory Stage IB-IVB Mycosis Fungoides or Sezary Syndrome,https://clinicaltrials.gov/study/NCT02243579,COMPLETED,Recurrent Mycosis Fungoides and Sezary Syndrome|Refractory Mycosis Fungoides and Sezary Syndrome|Stage IB Mycosis Fungoides and Sezary Syndrome AJCC v7|Stage IIA Mycosis Fungoides and Sezary Syndrome AJCC v7|Stage IIB Mycosis Fungoides and Sezary Syndrome AJCC v7|Stage IIIA Mycosis Fungoides and Sezary Syndrome AJCC v7|Stage IIIB Mycosis Fungoides and Sezary Syndrome AJCC v7|Stage IVA Mycosis Fungoides and Sezary Syndrome AJCC v7|Stage IVB Mycosis Fungoides and Sezary Syndrome AJCC v7,OTHER: Laboratory Biomarker Analysis|BIOLOGICAL: Pembrolizumab,National Cancer Institute (NCI),,INTERVENTIONAL
NCT06738368,"Etoposide, Prednisone, Vincristine, Cyclophosphamide, and Doxorubicin (DA-EPOCH) With or Without Rituximab Plus Recombinant Erwinia Asparaginase (JZP458) for the Treatment of Newly Diagnosed Ph Negative B-Acute Lymphoblastic Leukemia or T Acute Lymphoblastic Leukemia",https://clinicaltrials.gov/study/NCT06738368,NOT_YET_RECRUITING,"B Acute Lymphoblastic Leukemia, Philadelphia Chromosome Negative|T Acute Lymphoblastic Leukemia",DRUG: Asparaginase Erwinia chrysanthemi|PROCEDURE: Biospecimen Collection|PROCEDURE: Bone Marrow Collection|PROCEDURE: Computed Tomography|DRUG: Cyclophosphamide|DRUG: Doxorubicin|DRUG: Etoposide|BIOLOGICAL: Filgrastim|BIOLOGICAL: Pegfilgrastim|PROCEDURE: Positron Emission Tomography|DRUG: Prednisone|BIOLOGICAL: Rituximab|DRUG: Vincristine,University of Washington,Jazz Pharmaceuticals,INTERVENTIONAL
NCT05905328,Study of CTO1681 for the Prevention and Treatment of CRS in DLBCL Patients Receiving CAR T-Cell Therapy,https://clinicaltrials.gov/study/NCT05905328,RECRUITING,Cytokine Release Syndrome,DRUG: CTO1681 10 μg|DRUG: CTO1681 20 μg|DRUG: CTO1681 30 μg,"CytoAgents, Inc.",,INTERVENTIONAL
NCT00723099,Donor Umbilical Cord Blood Transplant in Treating Patients With Hematologic Cancer,https://clinicaltrials.gov/study/NCT00723099,COMPLETED,Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia|Aggressive Non-Hodgkin Lymphoma|Chronic Myelogenous Leukemia|Chronic Phase Chronic Myelogenous Leukemia|Indolent Non-Hodgkin Lymphoma|Lymphoma|Mixed Phenotype Acute Leukemia|Myelodysplastic Syndrome|Myeloproliferative Neoplasm|Recurrent Chronic Lymphocytic Leukemia|Recurrent Follicular Lymphoma|Recurrent Lymphoplasmacytic Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Marginal Zone Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Recurrent T-Cell Non-Hodgkin Lymphoma|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia|Refractory Follicular Lymphoma|Refractory Hodgkin Lymphoma|Refractory Lymphoplasmacytic Lymphoma|Refractory Mantle Cell Lymphoma|Refractory Small Lymphocytic Lymphoma|T-Cell Non-Hodgkin Lymphoma,PROCEDURE: Allogeneic Hematopoietic Stem Cell Transplantation|DRUG: Cyclophosphamide|DRUG: Cyclosporine|DRUG: Fludarabine Phosphate|OTHER: Laboratory Biomarker Analysis|DRUG: Mycophenolate Mofetil|RADIATION: Total-Body Irradiation|PROCEDURE: Umbilical Cord Blood Transplantation,Fred Hutchinson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT05433727,Dermoscopic Findings of Small Plaque Parapsoriasis and Patch Stage Mycosis Fungoides and Histopathological Correlation,https://clinicaltrials.gov/study/NCT05433727,COMPLETED,Mycosis Fungoides of Skin,"DIAGNOSTIC_TEST: videodermoscopy, lesional capillaroscopy",Istanbul Training and Research Hospital,,OBSERVATIONAL
NCT03275493,CD19 CAR-T Cells With CRS Suppression Technology for r/r CD19+ Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT03275493,RECRUITING,Acute Lymphoblastic Leukemia|CD19 Positive|Relapse|Refractory,BIOLOGICAL: CD19 CAR-T cells|BIOLOGICAL: CD19 CAR-T cells with CRS suppression technology,"Shanghai Unicar-Therapy Bio-medicine Technology Co.,Ltd",The First Affiliated Hospital of Soochow University,INTERVENTIONAL
NCT00016302,Combination Chemotherapy in Treating Patients With Newly Diagnosed Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT00016302,COMPLETED,T-cell Childhood Acute Lymphoblastic Leukemia|Untreated Childhood Acute Lymphoblastic Leukemia,DRUG: prednisone|DRUG: vincristine sulfate|DRUG: daunorubicin hydrochloride|DRUG: asparaginase|DRUG: methotrexate|DRUG: cyclophosphamide|DRUG: cytarabine|DRUG: mercaptopurine|DRUG: leucovorin calcium|DRUG: dexamethasone|DRUG: doxorubicin hydrochloride|DRUG: thioguanine|RADIATION: radiation therapy|DRUG: nelarabine|DRUG: pegaspargase|RADIATION: radiation therapy|OTHER: pharmacological study|OTHER: laboratory biomarker analysis,National Cancer Institute (NCI),,INTERVENTIONAL
NCT04154709,CTA101 UCAR-T Cell Injection for Treatment of Relapsed or Refractory CD19+ B-cell Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT04154709,UNKNOWN,Acute Lymphoblastic Leukemia,BIOLOGICAL: CTA101,Kai Lin Xu; Jun Nian Zheng,"Nanjing Bioheng Biotech Co., Ltd.",INTERVENTIONAL
NCT00962507,Panobinostat and Everolimus in Treating Patients With Relapsed or Refractory Lymphoma or Multiple Myeloma,https://clinicaltrials.gov/study/NCT00962507,COMPLETED,Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm,DRUG: everolimus|DRUG: panobinostat|OTHER: laboratory biomarker analysis|OTHER: pharmacological study,City of Hope Medical Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT01350258,Bone Marrow Transplant Using a Reduced Intensity Regimen That is Given in Two Steps,https://clinicaltrials.gov/study/NCT01350258,TERMINATED,Hematologic Malignancies|Acute Leukemia|Myelodysplastic Syndromes (MDS) Other Than RA or RARS Subtypes|Hodgkin's Lymphoma|Non-Hodgkin's Lymphoma|Myeloma|Chronic Myelogenous (or Myeloid) Leukemia (CML) Resistant to STI Therapy,DRUG: Fludarabine|DRUG: Thiotepa|RADIATION: Total Body Irradiation (TBI)|BIOLOGICAL: Donor Lymphocyte Infusion (DLI)|DRUG: Melphalan|DEVICE: Hematopoietic stem cell transplantation (HSCT),Sidney Kimmel Cancer Center at Thomas Jefferson University,,INTERVENTIONAL
NCT02146924,Cellular Immunotherapy in Treating Patients With High-Risk Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT02146924,ACTIVE_NOT_RECRUITING,B Acute Lymphoblastic Leukemia|Recurrent Acute Lymphoblastic Leukemia|Refractory Acute Lymphoblastic Leukemia,BIOLOGICAL: CD19CAR-CD28-CD3zeta-EGFRt-expressing Tcm-enriched T-lymphocytes|BIOLOGICAL: CD19CAR-CD28-CD3zeta-EGFRt-expressing Tn/mem-enriched T-lymphocytes|OTHER: Laboratory Biomarker Analysis,City of Hope Medical Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT05053971,"Testing A New Anti-cancer Drug Combination, Entinostat and ZEN003694, for Advanced and Refractory Solid Tumors and Lymphomas",https://clinicaltrials.gov/study/NCT05053971,RECRUITING,Advanced Lymphoma|Advanced Malignant Solid Neoplasm|Advanced Pancreatic Carcinoma|B-Cell Non-Hodgkin Lymphoma|Metastatic Pancreatic Carcinoma|Refractory B-Cell Non-Hodgkin Lymphoma|Refractory Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Pancreatic Carcinoma|Refractory T-Cell Non-Hodgkin Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Unresectable Pancreatic Carcinoma,DRUG: BET Bromodomain Inhibitor ZEN-3694|PROCEDURE: Core Biopsy|DRUG: Entinostat,National Cancer Institute (NCI),,INTERVENTIONAL
NCT01071226,Peripheral Blood Stem Cell Transplantation Using the CliniMACS Device,https://clinicaltrials.gov/study/NCT01071226,COMPLETED,"Malignant Diseases (ie, Leukemia, MDS, Lymphoma)|Non-malignant Diseases (ie, Bone Marrow Failure Syndromes)","DEVICE: CliniMACS (CD+3, CD+19 depletion)|DEVICE: CliniMACS (CD 34+ positive selection)|OTHER: HSCT",Medical College of Wisconsin,Children's Hospital of Philadelphia,INTERVENTIONAL
NCT03117751,Total Therapy XVII for Newly Diagnosed Patients With Acute Lymphoblastic Leukemia and Lymphoma,https://clinicaltrials.gov/study/NCT03117751,ACTIVE_NOT_RECRUITING,Acute Lymphoblastic Leukemia|Acute Lymphoblastic Lymphoma,DRUG: Prednisone|DRUG: Vincristine|DRUG: Daunorubicin|DRUG: Pegaspargase|DRUG: Erwinase®|DRUG: Cyclophosphamide|DRUG: Cytarabine|DRUG: Mercaptopurine|DRUG: Dasatinib|DRUG: Methotrexate|DRUG: Blinatumomab|DRUG: Ruxolitinib|DRUG: Bortezomib|DRUG: Dexamethasone|DRUG: Doxorubicin|DRUG: Etoposide|DRUG: Clofarabine|DRUG: Vorinostat|DRUG: Idarubicin|DRUG: Nelarabine|DRUG: Thioguanine|DRUG: Asparaginase Erwinia chrysanthemi (recombinant)-rywn|DRUG: Calaspargase Pegol,St. Jude Children's Research Hospital,Incyte Corporation|Amgen|Servier,INTERVENTIONAL
NCT01626183,Studying RNA in Samples From Younger Patients With T-Cell Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT01626183,COMPLETED,Leukemia,GENETIC: RNA analysis|GENETIC: proteomic profiling|OTHER: laboratory biomarker analysis,Children's Oncology Group,National Cancer Institute (NCI),OBSERVATIONAL
NCT00073944,BCX-1777 in Treating Patients With Refractory Cancer,https://clinicaltrials.gov/study/NCT00073944,COMPLETED,Cancer,DRUG: forodesine hydrochloride,BioCryst Pharmaceuticals,,INTERVENTIONAL
NCT04423926,Lenalidomide in Combination With CHOP in Patients With Untreated PTCL,https://clinicaltrials.gov/study/NCT04423926,UNKNOWN,"PTCL, NOS|AITL|ALK- ALCL|Phase III-IV ALK+ ALCL|EATL",DRUG: Lenalidomide|DRUG: Cyclophosphamide|DRUG: Doxorubicin|DRUG: Vincristine|DRUG: Prednisolone,The First Affiliated Hospital with Nanjing Medical University,,INTERVENTIONAL
NCT04158011,A Retrospective Study of Patients With Leukemia Relapse in the CNS Treated With CAR T Cells,https://clinicaltrials.gov/study/NCT04158011,UNKNOWN,Acute Lymphoblastic Leukemia,,Sheba Medical Center,,OBSERVATIONAL
NCT03902197,CD19 hsCAR-T for Refractory/Relapsed CD19+ B-ALL Patients,https://clinicaltrials.gov/study/NCT03902197,UNKNOWN,Acute Lymphoblastic Leukemia,BIOLOGICAL: CD19 hsCAR-T,"Xuanwu Hospital, Beijing",Beijing Children's Hospital,INTERVENTIONAL
NCT03272633,Irradiated Donor Cells Following Stem Cell Transplant in Controlling Cancer in Patients With Hematologic Malignancies,https://clinicaltrials.gov/study/NCT03272633,TERMINATED,Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia in Remission|Hematopoietic Cell Transplantation Recipient|JAK2 Gene Mutation|Loss of Chromosome 17p|Mantle Cell Lymphoma|Minimal Residual Disease|Myelodysplastic Syndrome|Non-Hodgkin Lymphoma|Plasma Cell Myeloma|RAS Family Gene Mutation|Recurrent Diffuse Large B-Cell Lymphoma|Recurrent Hematologic Malignancy|Recurrent Mature T- and NK-Cell Non-Hodgkin Lymphoma|Refractory Diffuse Large B-Cell Lymphoma|Refractory Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma|Therapy-Related Acute Myeloid Leukemia|Therapy-Related Myelodysplastic Syndrome|TP53 Gene Mutation,PROCEDURE: Allogeneic Hematopoietic Stem Cell Transplantation|BIOLOGICAL: Irradiated Allogeneic Cells,"Rutgers, The State University of New Jersey",National Cancer Institute (NCI),INTERVENTIONAL
